original_sentence,processed_tokens
"GEREĞİ DÜŞÜNÜLDÜ: Davacı vekili, müvekkilinin .... Bursa Ticari  şubesindeki kredi kartından, kart bilgisi dışında çekilen toplam 27.585,90 TL'nin iade edilen 7.816,53 TL düşüldükten sonra kalan 19.769,73 TL ve bunun faizi yönünden, borçlu olmadığının tespitini ve istirdadını talep etmiştir.",gerek düşünül davaç vekil müvekkil bur ticar şubes kredi kart kart bilgis dış çekile topla tlnin ia edile düşüldük sonra kala bu faiz yön borçlu olmadık tespit istirdadı talep et
"Davalı banka vekili "" davacının ihtarnamesi üzerine 7.816,53 TL 'lik kısımın kredi kartına geri ödediklerini, ancak 27/06/2014-26/09/2014 tarihlerine ilişkin kart harcamalarının zamanaşımı nedeniyle kendilerinin işlem yapma yetkilerinin bulunmadığının davacıya bildirildiğini, husumetin kredi kart bilgilerini kullanan kişilere yöneltilmesi gerektiğini, müvekkili bankanın internet bankacılığı konusunda gerekli uyarıları yaptığını, iddia edilen zararın davacının kendi kusurundan kaynaklandığını, BK.",daval banka vekil davaç ihtarnames üzer lik kıs kredi kart ger ödedik ancak tarih ilişk kart harcama zamanaş neden kendi işle yapma yetki bulunmadık davacı bildirildik husumet kredi kart bilgi kullana kişi yöneltilmes gerektik müvekkil banka internet bankacılık konu gerekli uyarı yaptık iddia edile zarar davaç ke kusur kaynaklandık
114 ve 52 maddeleri ile MK.,madde
"2 ve 3  maddeleri gereği  davacının ortaya çıkan zarar katlanması gerektiğini, 5464  sayılı Banka ve Kredi Kartları Kanunu'nun 12.",madde gerek davaç orta çıka zarar katlanmas gerektik sayıl banka kredi kart kanun
"Maddesi gereği kart bilgelerinin ya da kartın çalınmasını durumunda , bu durumun bankaya ulaşmasından önceki harcamalardan dolayı bankanın sorumlu olmadığını, "" savunarak davanın reddini istemiştir.",maddes gerek kart bilge kar çalınma durum dur banka ulaşma öncek harcama dola banka sorumlu olmadık savunarak dava reddi istemiş
"Emekli bir banka müdürü bilirkişiden alınan bilirkişi raporunda sonuç olarak, "" kredi kartından yapılan usulsüz  harcamaların 8 ay sürdüğü, ilk  usulsüz harcaması 26/06/2014 tarihinde www.....com sitesinden ve peşpeşe 19 adet işlem  biçiminde gerçekleştiği, bu peşpeşe kullanımlar banka tarafından tespit edilse idi  bu kullanımların banka tarafından engellenebileceğini, usulüz işlemlerin bir kısmının  bankaca fark edilerek  hesaba  iade edildiği, ancak bankanın daha ilk gün kredi kartını işleme kapatması gerektiğini, toplam 162 işlem nedeniyle bankanın ağır kusurlu  olduğu, davacının müterafik kusuruna ilişkin bir delil bulunmadığı"" görüşü açıklanmıştır.Rapora karşı davalı tarafça itirazda bulunularak içlerinde bilişim uzmanlarının da bulunacağı bir heyetten yen bir rapor alınmasını istemiş, ancak mahkemece bu talep reddedilmiştir.",emekli bir banka müdür bilirkişi alına bilirkiş rapor sonuç olarak kredi kart yapıla usulsüz harcama sürdük ilk usulsüz harcamas tarih wwwcom site peşpeş adet işle biçim gerçekleştik peşpeş kullanım banka taraf tespit edil idi kullan banka taraf engellenebilecek usulüz işle bir kısmı bankaç fark edilerek hesap ia edildik ancak banka ilk gün kredi kart işle kapatmas gerektik topla işle neden banka ağır kusurlu olduk davaç müterafik kusur ilişk bir delil bulunmadık görüş açıklanmıştırrapor karşı daval tarafça itiraz bulunularak iç biliş uzman bulunacak bir heyet yen bir rapor alınma istemiş ancak mahkemeç talep reddedil
"Mahkeme 22/11/2016 tarihli kararında, ""5464 sayılı kanunun 15. maddesi gereği hukuka aykırı kullanımlardan kart sahibinin sorumlu olmayacağı, davacının kredi kartından Haziran 2014 -Şubat 2015 tarihleri arasında davacının rızası olmadan toplam 162 ayrı işlem  ile para çekildiği, banka güvenlik sisteminin, peşpeşe gerçekleşen 19 hareketi bile tespit edemediği için ağır kusurlu olduğu, bankaların birer güven kurumu olduğu ve objektif özen yükümlülüğü altında bulundukları, davacının hatalı olduğuna dair somut bir delil sunulmadığı"" gerekçesiyle davanın kabulüne, 19.769,73 TL ile bu rakamın faizinden dolayı davacının davalıya borçlu olmadığının tespitine, ödenen bedelin istirdadına"" karar vermiştir.",mahke tarihli karar sayıl kanu maddes gerek hukuk aykır kullanım kart sahip sorumlu olmayacak davaç kredi kart hazira şubat tarih ara davaç rızas olma topla ayrı işle par çekildik banka güvenlik sistem peşpeş gerçekleşe hareket bil tespit edemedik ağır kusurlu olduk banka birer güve kur olduk objektif öze yükümlülük alt bulunduk davaç hatal olduk dair somut bir delil sunulmadık gerekçe dava kabul raka faiz dola davaç davalı borçlu olmadık tespit ödene bedel istirdadı karar ver
"Bu karara karşı davalı ..bank süresinde istinaf başvurusu yapmış ve istinaf sebebi olarak, ""Davanın husumet nedeni ile reddi gerektiğini, usulsüz kullanım iddialarına rağmen davacının Savcılık nezdinde herhangi bir şikayeti olmadığını, husumetin kartı kullananlara yöneltilmesi gerektiğini, eksik inceleme yapıldığını, rapora  itirazların dikkate alınmadığını, oysa bilişim uzmanının da  bulunacağı bir heyetten rapor alınması gerektiğini, işlemlerden birinin kartlı ve pin numarası girilerek yapıldığını, bankanın internet güvenliğinin uluslararası standartlarda olduğunu, tüm şifrelerin 128 bit SSL programı ile kriptolanıp saklandığını, dünyanın en güvenli  sitemini kullandıklarını, bankanın ...  isimli bir ek güvenlik uygulamasının bulunduğunu ancak davacının bulunu kullanmadığını, kusurun davacıda olduğunu veya davacının müterafik kusurunun bulunduğunu"" savunarak davanın reddini istemiştir.",karar karşı daval bank süre istinaf başvurus yap istinaf sebep olarak dava husumet nede redi gerektik usulsüz kulla iddia rağme davaç savcılık nezdi herhangi bir şikayet olmadık husumet kar kullanan yöneltilmes gerektik eksik incele yapıldık rapor itiraz dikka alınmadık o biliş uzman bulunacak bir heyet rapor alınmas gerektik işlem bir kartlı pin numaras girilerek yapıldık banka internet güvenlik uluslararas standart olduk şifre bit ssl progra kriptolanıp saklandık dünya güvenli sitem kullandık banka isimli bir güvenlik uygulama bulunduk ancak davaç bul kullanmadık kusur davacı olduk davaç müterafik kusur bulunduk savunarak dava reddi istemiş
Tahkikatta eksiklik bulunması nedeniyle istinaf incelemesi duruşmalı olarak yapılmış ve istinaf aşamasında alınan 04/10/2017 tarihli bilirkişi raporunda; bir kısım belgelerin sunulması gerektiğine işaret edildiği görülmüştür.,tahkikat eksiklik bulunmas neden istinaf incelemes duruşmal olarak yapıl istinaf aşama alına tarihli bilirkiş rapor bir kıs belge sunulmas gerektik işaret edildik görül
"Söz konusu bilgi ve belgeler dosyaya ibraz edildikten sonra alınan 18/03/2018 tarihli bilirkişi raporunda; dava konusu harcamaların yapılıdğı tarihte davacının internet bankacılığını aktif olarak kullandığı, hesap ekstrelerini görüntülediği, borç bilgisini sorguladığı ve şube kanalıyla ödeme yapıldığının tespit edildiği, davalı banka tarafından davacıya SMS ya da e-posta yoluyla harcamalara ilişkin bilgilendirme yapılmadığının tespit edildiği, şüpheli işlemlerin tamamının internet üzerinden ve şifresiz yapıldığının tespit edildiği, davacının bu harcamalardan haberdar olabileceği, zarara uğrama iddiasının ve ödediği tutarların istirdadının gerçekçi olmadığı yolunda görüş bildirildiği görülmüştür.",söz konus bilgi belge dosya ibraz edildik sonra alına tarihli bilirkiş rapor dav konus harcama yapılıdğı tarih davaç internet bankacılık aktif olarak kullandık hesap ekstre görüntüledik borç bilgi sorguladık şube kanal öde yapıldık tespit edildik daval banka taraf davacı sms epos yol harcama ilişk bilgilendirme yapılmadık tespit edildik şüphel işle tamam internet üzer şifres yapıldık tespit edildik davaç harcama haberdar olabilecek zarar uğra iddia ödedik tutar istirdadı gerçekçi olmadık yol görüş bildirildik görül
